İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Fiyat,Ağır Hasarlı,Motor Gücü (kW),Batarya Voltajı (V),Menzil,Şarj Süresi,Pil Kapasitesi (kWh),Plaka Uyruğu
Kopyalandı30614134,30 Haziran 2025,Peugeot,206,1.6 XT,2002,155.000 km,Otomatik,LPG & Benzin,Hatchback/5,Kırmızı,1587 cc,109 hp,Önden Çekiş,İkinci El,"7,4 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,399.000 TL,,,,,,,
Kopyalandı30613096,30 Haziran 2025,Hyundai,Accent Era,1.5 CRDi Team,2011,238.500 km,Otomatik,Dizel,Sedan,Beyaz,1493 cc,110 hp,Önden Çekiş,İkinci El,"5,9 lt",45 lt,"2 değişen, 5 boyalı",Takasa Uygun Değil,Galeriden,449.000 TL,,,,,,,
Kopyalandı22947396,30 Haziran 2025,Audi,A3,A3 Sportback 1.6 TDI Ambiente,2013,134.500 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,1 boyalı,Takasa Uygun,Galeriden,1.150.000 TL,,,,,,,
Kopyalandı26664088,30 Haziran 2025,Fiat,Egea,1.4 Fire Easy,2021,21.500 km,Düz,Benzin,Sedan,Gri,1368 cc,95 hp,Önden Çekiş,İkinci El,"6,4 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,749.000 TL,,,,,,,
Kopyalandı30600487,30 Haziran 2025,Mercedes - Benz,E,250 CDI AMG,2011,228.000 km,Otomatik,Dizel,Coupe,Beyaz,2143 cc,204 hp,Arkadan İtiş,İkinci El,"6,1 lt",59 lt,5 değişen,Takasa Uygun Değil,Sahibinden,1.150.000 TL,Evet,,,,,,
Kopyalandı28766213,30 Haziran 2025,Fiat,500 Ailesi,500E La Prima,2023,13.000 km,Otomatik,Elektrik,-,Yeşil,,118 hp,Önden Çekiş,İkinci El,,,Tamamı orjinal,,Sahibinden,1.193.000 TL,,70 kW,220 v,320 km,4,42 kWh,(TR) Türkiye
Kopyalandı30611313,30 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2016,186.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,"3 değişen, 2 boyalı",Takasa Uygun,Galeriden,1.320.000 TL,,,,,,,
Kopyalandı30610551,30 Haziran 2025,Ford,Mondeo,2.0 TDCi Titanium,2010,270.000 km,Otomatik,Dizel,Sedan,Gri (Gümüş),1997 cc,140 hp,Önden Çekiş,İkinci El,"5,6 lt",70 lt,"4 değişen, 2 boyalı",Takasa Uygun Değil,Galeriden,665.000 TL,,,,,,,
Kopyalandı30610490,30 Haziran 2025,Hyundai,Accent Era,1.4 Team,2009,143.000 km,Düz,LPG & Benzin,Sedan,Gri,1399 cc,97 hp,Önden Çekiş,İkinci El,"6,5 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,495.000 TL,,,,,,,
Kopyalandı30575694,30 Haziran 2025,Opel,Tigra,1.6,1997,366.000 km,Düz,LPG & Benzin,Coupe,Lacivert,1598 cc,106 hp,Önden Çekiş,İkinci El,"7,7 lt",46 lt,Tamamı orjinal,,Sahibinden,150.000 TL,,,,,,,
Kopyalandı30609824,30 Haziran 2025,Hyundai,i20 Troy,1.2 DOHC Team,2012,167.500 km,Düz,Benzin,Hatchback/5,Gri,1248 cc,78 hp,Önden Çekiş,İkinci El,"5,1 lt",45 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,505.000 TL,,,,,,,
Kopyalandı30609110,30 Haziran 2025,Hyundai,i20,1.0 T-GDI Jump,2024,9.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,998 cc,100 hp,Önden Çekiş,İkinci El,"6,1 lt",40 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.220.000 TL,,,,,,,
Kopyalandı30606996,30 Haziran 2025,Fiat,Egea,1.6 Multijet Urban,2017,110.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,"3,9 lt",45 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Galeriden,869.999 TL,,,,,,,
Kopyalandı30606383,30 Haziran 2025,Renault,Clio,1.0 TCe Joy,2023,57.750 km,Otomatik,Benzin,Hatchback/5,Mavi (metalik),1200 cm3' e kadar,76 - 100 HP,-,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,995.000 TL,,,,,,,
Kopyalandı30607103,30 Haziran 2025,Ford,Focus,1.6 Ghia,2005,294.100 km,Otomatik,LPG & Benzin,Hatchback/5,Gri,1596 cc,100 hp,Önden Çekiş,İkinci El,"7,7 lt",55 lt,"5 değişen, 2 boyalı",,Sahibinden,450.000 TL,,,,,,,
Kopyalandı30521887,30 Haziran 2025,Volkswagen,Polo,1.4 Comfortline,2011,264.000 km,Düz,Benzin,Hatchback/5,Siyah,1390 cc,85 hp,Önden Çekiş,İkinci El,"5,9 lt",45 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,545.000 TL,,,,,,,
Kopyalandı30605849,30 Haziran 2025,BMW,2 Serisi,216d Active Tourer Active Tourer,2016,116.000 km,Otomatik,Dizel,MPV,Siyah,1496 cc,116 hp,Önden Çekiş,İkinci El,4 lt,51 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.215.000 TL,,,,,,,
Kopyalandı30605810,30 Haziran 2025,Tofaş,Serçe,,1994,76.000 km,Düz,Benzin,Sedan,Beyaz,1239 cc,65 hp,Arkadan İtiş,İkinci El,,44 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,187.500 TL,,,,,,,
Kopyalandı30605329,30 Haziran 2025,Volkswagen,Polo,1.4 TDi Comfortline,2014,145.000 km,Düz,Dizel,Hatchback/5,Beyaz,1422 cc,90 hp,Önden Çekiş,İkinci El,"3,4 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,809.000 TL,,,,,,,
Kopyalandı30594109,30 Haziran 2025,Toyota,Corolla,1.6 Dream,2020,84.600 km,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),1598 cc,132 hp,Önden Çekiş,İkinci El,"5,5 lt",50 lt,"1 değişen, 1 boyalı",,Sahibinden,1.262.000 TL,,,,,,,
Kopyalandı30604824,30 Haziran 2025,Tofaş,Doğan,SLX,1996,155.555 km,Düz,LPG & Benzin,Sedan,Gri,1581 cc,83 hp,Arkadan İtiş,İkinci El,,50 lt,1 değişen,Takasa Uygun,Galeriden,220.000 TL,,,,,,,
Kopyalandı30414179,30 Haziran 2025,Renault,Megane,1.5 Blue DCI Touch,2020,150.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun Değil,Galeriden,1.145.000 TL,,,,,,,
Kopyalandı30577246,30 Haziran 2025,BMW,3 Serisi,320i ED 40th Year Edition,2016,175.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,2 boyalı,Takasa Uygun Değil,Galeriden,1.725.000 TL,,,,,,,
Kopyalandı30609588,30 Haziran 2025,Hyundai,i20,1.4 MPI Jump,2021,109.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,1 lt",40 lt,Tamamı orjinal,,Sahibinden,985.000 TL,,,,,,,
Kopyalandı30106719,30 Haziran 2025,Tofaş,Serçe,,1989,111.111 km,Düz,LPG & Benzin,Sedan,Yeşil,1239 cc,65 hp,Arkadan İtiş,İkinci El,,44 lt,Belirtilmemiş,Takasa Uygun,Galeriden,89.000 TL,,,,,,,
Kopyalandı29929363,30 Haziran 2025,Ford,Focus,1.0 EcoBoost Titanium X,2023,102.000 km,Düz,Benzin,Sedan,Gri,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,İkinci El,,,5 boyalı,Takasa Uygun,Galeriden,1.045.000 TL,,,,,,,
Kopyalandı30595149,30 Haziran 2025,Seat,Leon,1.2 TSI Style,2014,195.300 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1197 cc,105 hp,Önden Çekiş,İkinci El,"4,8 lt",50 lt,"2 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,830.000 TL,,,,,,,
Kopyalandı30603479,30 Haziran 2025,Renault,Clio,1.0 TCe Evolution,2024,22.000 km,Otomatik,Benzin,Hatchback/5,Gri,999 cc,90 hp,Önden Çekiş,İkinci El,6 lt,42 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.250.000 TL,,,,,,,
Kopyalandı30602833,30 Haziran 2025,Renault,Symbol,1.2 Expression,2011,190.000 km,Düz,Benzin,Sedan,Gri,1149 cc,75 hp,Önden Çekiş,İkinci El,"5,9 lt",50 lt,3 boyalı,Takasa Uygun,Galeriden,385.000 TL,,,,,,,
Kopyalandı30602396,30 Haziran 2025,Volkswagen,Golf,1.6 Trendline,2001,115.000 km,Düz,Benzin,Hatchback/5,Gri (Gümüş),1595 cc,105 hp,Önden Çekiş,İkinci El,"6,8 lt",55 lt,"2 değişen, 11 boyalı",Takasa Uygun,Sahibinden,400.000 TL,,,,,,,
Kopyalandı30601282,30 Haziran 2025,Renault,Clio,1.5 dCi Extreme,2011,201.000 km,Düz,Dizel,Hatchback/5,Gri (metalik),1461 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",55 lt,4 boyalı,Takasa Uygun,Galeriden,510.000 TL,,,,,,,
Kopyalandı30587103,30 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2019,178.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,59 lt,Tamamı orjinal,,Sahibinden,1.369.000 TL,,,,,,,
Kopyalandı30570986,30 Haziran 2025,Honda,Civic,1.6 i-VTEC ECO Elegance,2021,72.000 km,Otomatik,LPG & Benzin,Sedan,Mavi,,,,İkinci El,,,3 boyalı,,Sahibinden,1.455.000 TL,,,,,,,
Kopyalandı30600682,30 Haziran 2025,Opel,Astra,1.6 Elegance,2004,305.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1598 cc,103 hp,Önden Çekiş,İkinci El,"7,5 lt",52 lt,"1 değişen, 12 boyalı",Takasa Uygun Değil,Sahibinden,340.000 TL,,,,,,,
Kopyalandı30600532,30 Haziran 2025,Mercedes - Benz,CLA,200 AMG+ 4Matic,2022,24.000 km,Yarı Otomatik,Benzin,Coupe,Gri (titanyum),1332 cc,163 hp,4WD (Sürekli),İkinci El,"6,2 lt",51 lt,Tamamı orjinal,-,Sahibinden,3.025.000 TL,,,,,,,
Kopyalandı30600488,30 Haziran 2025,Ford,Focus,1.0 GTDi Style,2013,108.000 km,Düz,Benzin,Sedan,Beyaz,999 cc,125 hp,Önden Çekiş,İkinci El,5 lt,55 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Galeriden,699.750 TL,,,,,,,
Kopyalandı30600260,30 Haziran 2025,Hyundai,i30,1.6 CRDi Elite,2012,195.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1582 cc,128 hp,Önden Çekiş,İkinci El,"5,5 lt",53 lt,Tamamı orjinal,Takasa Uygun,Galeriden,869.000 TL,,,,,,,
